"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","secnumacademie.gouv.fr/148.253.99.103","443","INFO","HTTP","",""
"pre_128cipher","secnumacademie.gouv.fr/148.253.99.103","443","INFO","No 128 cipher limit bug","",""
"SSLv2","secnumacademie.gouv.fr/148.253.99.103","443","OK","not offered","",""
"SSLv3","secnumacademie.gouv.fr/148.253.99.103","443","OK","not offered","",""
"TLS1","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not offered","",""
"TLS1_1","secnumacademie.gouv.fr/148.253.99.103","443","LOW","offered (deprecated)","",""
"TLS1_2","secnumacademie.gouv.fr/148.253.99.103","443","OK","offered","",""
"TLS1_3","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not offered","",""
"cipherlist_NULL","secnumacademie.gouv.fr/148.253.99.103","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","secnumacademie.gouv.fr/148.253.99.103","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","secnumacademie.gouv.fr/148.253.99.103","443","OK","not offered","","CWE-327"
"cipherlist_LOW","secnumacademie.gouv.fr/148.253.99.103","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","secnumacademie.gouv.fr/148.253.99.103","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not offered","",""
"cipherlist_STRONG_FS","secnumacademie.gouv.fr/148.253.99.103","443","OK","offered","",""
"cipher_order-tls1_1","secnumacademie.gouv.fr/148.253.99.103","443","OK","server","",""
"cipherorder_TLSv1_1","secnumacademie.gouv.fr/148.253.99.103","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","secnumacademie.gouv.fr/148.253.99.103","443","OK","server","",""
"cipherorder_TLSv1_2","secnumacademie.gouv.fr/148.253.99.103","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","secnumacademie.gouv.fr/148.253.99.103","443","OK","server","",""
"FS","secnumacademie.gouv.fr/148.253.99.103","443","OK","offered","",""
"FS_ciphers","secnumacademie.gouv.fr/148.253.99.103","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","secnumacademie.gouv.fr/148.253.99.103","443","OK","prime256v1","",""
"TLS_extensions","secnumacademie.gouv.fr/148.253.99.103","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15'","",""
"TLS_session_ticket","secnumacademie.gouv.fr/148.253.99.103","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","secnumacademie.gouv.fr/148.253.99.103","443","INFO","yes","",""
"sessionresumption_ticket","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not supported","",""
"sessionresumption_ID","secnumacademie.gouv.fr/148.253.99.103","443","INFO","supported","",""
"TLS_timestamp","secnumacademie.gouv.fr/148.253.99.103","443","INFO","off by -1 seconds from your localtime","",""
"cert_compression","secnumacademie.gouv.fr/148.253.99.103","443","INFO","N/A","",""
"clientAuth","secnumacademie.gouv.fr/148.253.99.103","443","INFO","none","",""
"cert_numbers","secnumacademie.gouv.fr/148.253.99.103","443","INFO","1","",""
"cert_signatureAlgorithm","secnumacademie.gouv.fr/148.253.99.103","443","OK","SHA256 with RSA","",""
"cert_keySize","secnumacademie.gouv.fr/148.253.99.103","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","secnumacademie.gouv.fr/148.253.99.103","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","secnumacademie.gouv.fr/148.253.99.103","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","secnumacademie.gouv.fr/148.253.99.103","443","INFO","250A531F186DE69120E9BC439C7DFBD9","",""
"cert_serialNumberLen","secnumacademie.gouv.fr/148.253.99.103","443","INFO","16","",""
"cert_fingerprintSHA1","secnumacademie.gouv.fr/148.253.99.103","443","INFO","4B4E79AA0644360AF60AE34098BC5EF24E3B4940","",""
"cert_fingerprintSHA256","secnumacademie.gouv.fr/148.253.99.103","443","INFO","98A564827660AA379C6E48160CCE8F4A8C892329F046616CA8576EC47FAE2F75","",""
"cert","secnumacademie.gouv.fr/148.253.99.103","443","INFO","-----BEGIN CERTIFICATE-----\nMIIILjCCBhagAwIBAgIQJQpTHxht5pEg6bxDnH372TANBgkqhkiG9w0BAQsFADB5MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEZMBcGA1UEAwwQQ2VydGlnbmEgV2lsZCBDQTAeFw0yMzA4MjAyMjAwMDBaFw0yNDA4MTkyMTU5NTlaMFExCzAJBgNVBAYTAkZSMREwDwYDVQQHDAhQQVJJUyBTUDEOMAwGA1UECgwFU0dEU04xHzAdBgNVBAMMFnNlY251bWFjYWRlbWllLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDfnJ8IYlo0LW/XZA0rhwCYTtAbBjJN49b8S0R/20tMcSSv8DqcgRYT/1Suydv7ZUo0uDMSSvEml+t+Eq5nrNU4ft17GbQZ0FfA0lo/RpnLt/LT+kkvbAM+/W3yxbTzPj937loLbIL0PZ9AePw7AItsYccyo9dsrtmxriTqWnGv+k+F32QNfYUuP0xVCaVYjC9YJ2GKTbg8XJSPZ7vmHZWH7VAtUJm0RiiWqK/hHyFG2rw/HdtL+udE04tDgnm+ijbQRUL9IcvA5iIVSlXOSJEjPpjqDyfBBeInjj/WiEPO99M2w9dg2JWclD1LCbDgkZsOXbduOPAuGJUzw9hFIUm3AgMBAAGjggPYMIID1DCB1AYIKwYBBQUHAQEEgccwgcQwMgYIKwYBBQUHMAKGJmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci93aWxkY2EuZGVyMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS93aWxkY2EuZGVyMCwGCCsGAQUFBzABhiBodHRwOi8vd2lsZGNhLm9jc3AuZGhpbXlvdGlzLmNvbTAqBggrBgEFBQcwAYYeaHR0cDovL3dpbGRjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFI58F7e898O0mNa2NZkiKsTDniRnMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgcBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wXQYDVR0fBFYwVDAnoCWgI4YhaHR0cDovL2NybC5jZXJ0aWduYS5mci93aWxkY2EuY3JsMCmgJ6AlhiNodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vd2lsZGNhLmNybDAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMD0GA1UdEQQ2MDSCFnNlY251bWFjYWRlbWllLmdvdXYuZnKCGnd3dy5zZWNudW1hY2FkZW1pZS5nb3V2LmZyMB0GA1UdDgQWBBTeY7rnZidtKYaYEq+I+VHvy5T8YzCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHcA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGKF3bGOgAABAMASDBGAiEA2ZwVHOhYozdQOWeHS05qkb2xlKvaLnAHmWpyYT9YaeICIQCrtMcFZRc86sbJZEIsFmwFbkfPnVM1xO6vUy7n+JJxbgB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABihd2xucAAAQDAEcwRQIgco9TQ/3VraWzRiRit5bKjdx1bXKh1u2C6Vv+fWAe8U8CIQC7ICb7Ojyok3qHn8LyO7RDFs358xUWhykUorBYqNS8CwB1AFWB1MIWkDYBSuoLm1c8U/DA5Dh4cCUIFy+jqh0HE9MMAAABihd2zAAAAAQDAEYwRAIgPFaaFa5trmuqNXeXtPeKrcOUA1K5VZ0V4Nh2f0re6ycCIFN0d6De142DO9bJzMuYv1XbuGm39LyAWd0kAKEGuqGeMA0GCSqGSIb3DQEBCwUAA4ICAQBibcHs9/z4QUIPiD4aGuQRShTZm5vKSVqEmUTBprMPNztpIjkMXtVmucdCExtR7bZaJmWdU6/8eSXMhAKnP2/U2DEUOzx59IJr+6Wn4FxG3YtwMuAlj8CPP7P/XBBZSFXaJAZr0WO3rOYKQRSr20a/5oGXEUfCuXy4k3yGkVlOW60bwqn6Pm7IM+NHdkHa56Gm+nXx8D3A44I3dM1aFimUzZZKTOR4hvPBEgt6kvWGye5UojGgFYxW/6EsS+EnqnGOkd7uWR8cDf6b9MbYY7nkCEtrfM551s6J9jYEUD7V9ucteh9LbkADiF0dNlh1xxeS+ijluRF+96vrhh378/Pskm+q1nRUxjuJDK6S7OaWya4gyv81Rur+Rqh0Tvu2liD6/DkHpBYLUGCPFpU1mowpdPn3NZbxEtiaKw2dcRzNTYjm2ur/6+j+4dbBs/N++rQHICeBt4nhtlM/6hP9aKWZBPKfK8TqeOHsDAR38QCo3aqBl9I3yI8MZbQnis9J8a6cA6+5UXx8gIboC2BFURjViGxc+l1G0f+Uj1fT8+ssehhA2MNPTN6LQ6S7tHYYIEIq+k0TUr2pD7XHCiqOO/p3tw4vIhjb4vAfKp5HNTsckM469MpY3wgL4nEPUtYl3VGYU0ZqqqSTiohtX+fxO3sqnAbqm62Jg67pY0z1HgH9vw==\n-----END CERTIFICATE-----","",""
"cert_commonName","secnumacademie.gouv.fr/148.253.99.103","443","OK","secnumacademie.gouv.fr","",""
"cert_commonName_wo_SNI","secnumacademie.gouv.fr/148.253.99.103","443","INFO","secnumacademie.gouv.fr","",""
"cert_subjectAltName","secnumacademie.gouv.fr/148.253.99.103","443","INFO","secnumacademie.gouv.fr www.secnumacademie.gouv.fr","",""
"cert_trust","secnumacademie.gouv.fr/148.253.99.103","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","secnumacademie.gouv.fr/148.253.99.103","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","secnumacademie.gouv.fr/148.253.99.103","443","INFO","no","",""
"cert_expirationStatus","secnumacademie.gouv.fr/148.253.99.103","443","OK","214 >= 60 days","",""
"cert_notBefore","secnumacademie.gouv.fr/148.253.99.103","443","INFO","2023-08-20 22:00","",""
"cert_notAfter","secnumacademie.gouv.fr/148.253.99.103","443","OK","2024-08-19 21:59","",""
"cert_extlifeSpan","secnumacademie.gouv.fr/148.253.99.103","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","secnumacademie.gouv.fr/148.253.99.103","443","INFO","not present","",""
"cert_crlDistributionPoints","secnumacademie.gouv.fr/148.253.99.103","443","INFO","http://crl.certigna.fr/wildca.crl http://crl.dhimyotis.com/wildca.crl","",""
"cert_ocspURL","secnumacademie.gouv.fr/148.253.99.103","443","INFO","http://wildca.ocsp.dhimyotis.com http://wildca.ocsp.certigna.fr","",""
"OCSP_stapling","secnumacademie.gouv.fr/148.253.99.103","443","LOW","not offered","",""
"cert_mustStapleExtension","secnumacademie.gouv.fr/148.253.99.103","443","INFO","--","",""
