"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sevagaz.gouv.fr/51.254.145.84","443","INFO","HTTP","",""
"pre_128cipher","sevagaz.gouv.fr/51.254.145.84","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sevagaz.gouv.fr/51.254.145.84","443","OK","not offered","",""
"SSLv3","sevagaz.gouv.fr/51.254.145.84","443","OK","not offered","",""
"TLS1","sevagaz.gouv.fr/51.254.145.84","443","INFO","not offered","",""
"TLS1_1","sevagaz.gouv.fr/51.254.145.84","443","INFO","not offered","",""
"TLS1_2","sevagaz.gouv.fr/51.254.145.84","443","OK","offered","",""
"TLS1_3","sevagaz.gouv.fr/51.254.145.84","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sevagaz.gouv.fr/51.254.145.84","443","INFO","not offered","",""
"cipherlist_NULL","sevagaz.gouv.fr/51.254.145.84","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sevagaz.gouv.fr/51.254.145.84","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sevagaz.gouv.fr/51.254.145.84","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sevagaz.gouv.fr/51.254.145.84","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sevagaz.gouv.fr/51.254.145.84","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sevagaz.gouv.fr/51.254.145.84","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sevagaz.gouv.fr/51.254.145.84","443","OK","offered","",""
"cipherlist_STRONG_FS","sevagaz.gouv.fr/51.254.145.84","443","OK","offered","",""
"cipher_order-tls1_2","sevagaz.gouv.fr/51.254.145.84","443","OK","server","",""
"cipherorder_TLSv1_2","sevagaz.gouv.fr/51.254.145.84","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sevagaz.gouv.fr/51.254.145.84","443","OK","server","",""
"FS","sevagaz.gouv.fr/51.254.145.84","443","OK","offered","",""
"FS_ciphers","sevagaz.gouv.fr/51.254.145.84","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","sevagaz.gouv.fr/51.254.145.84","443","OK","prime256v1","",""
