"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sidep.gouv.fr/66.22.33.76","443","INFO","HTTP","",""
"pre_128cipher","sidep.gouv.fr/66.22.33.76","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sidep.gouv.fr/66.22.33.76","443","OK","not offered","",""
"SSLv3","sidep.gouv.fr/66.22.33.76","443","OK","not offered","",""
"TLS1","sidep.gouv.fr/66.22.33.76","443","INFO","not offered","",""
"TLS1_1","sidep.gouv.fr/66.22.33.76","443","INFO","not offered","",""
"TLS1_2","sidep.gouv.fr/66.22.33.76","443","OK","offered","",""
"TLS1_3","sidep.gouv.fr/66.22.33.76","443","OK","offered with final","",""
"ALPN_HTTP2","sidep.gouv.fr/66.22.33.76","443","OK","h2","",""
"ALPN","sidep.gouv.fr/66.22.33.76","443","INFO","http/1.1","",""
"cipherlist_NULL","sidep.gouv.fr/66.22.33.76","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sidep.gouv.fr/66.22.33.76","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sidep.gouv.fr/66.22.33.76","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sidep.gouv.fr/66.22.33.76","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sidep.gouv.fr/66.22.33.76","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sidep.gouv.fr/66.22.33.76","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sidep.gouv.fr/66.22.33.76","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sidep.gouv.fr/66.22.33.76","443","OK","offered","",""
"cipher_order-tls1_2","sidep.gouv.fr/66.22.33.76","443","OK","server","",""
"cipherorder_TLSv1_2","sidep.gouv.fr/66.22.33.76","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sidep.gouv.fr/66.22.33.76","443","OK","server","",""
"FS","sidep.gouv.fr/66.22.33.76","443","OK","offered","",""
"FS_ciphers","sidep.gouv.fr/66.22.33.76","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sidep.gouv.fr/66.22.33.76","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","sidep.gouv.fr/66.22.33.76","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","sidep.gouv.fr/66.22.33.76","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","sidep.gouv.fr/66.22.33.76","443","INFO","yes","",""
"sessionresumption_ticket","sidep.gouv.fr/66.22.33.76","443","INFO","not supported","",""
"sessionresumption_ID","sidep.gouv.fr/66.22.33.76","443","INFO","not supported","",""
"TLS_timestamp","sidep.gouv.fr/66.22.33.76","443","INFO","random","",""
"certificate_compression","sidep.gouv.fr/66.22.33.76","443","INFO","none","",""
"clientAuth","sidep.gouv.fr/66.22.33.76","443","INFO","none","",""
"cert_numbers","sidep.gouv.fr/66.22.33.76","443","INFO","1","",""
"cert_signatureAlgorithm","sidep.gouv.fr/66.22.33.76","443","OK","SHA256 with RSA","",""
"cert_keySize","sidep.gouv.fr/66.22.33.76","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sidep.gouv.fr/66.22.33.76","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sidep.gouv.fr/66.22.33.76","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","sidep.gouv.fr/66.22.33.76","443","INFO","1830EBBFA724408A37019BD9DF90AAB6","",""
"cert_serialNumberLen","sidep.gouv.fr/66.22.33.76","443","INFO","16","",""
"cert_fingerprintSHA1","sidep.gouv.fr/66.22.33.76","443","INFO","7DE3C05EF6F8483E4B57E0F795653F6AEDD0A717","",""
"cert_fingerprintSHA256","sidep.gouv.fr/66.22.33.76","443","INFO","25273E34C14430F0195F591DB1CE78C29F98FEC9D8D7962A8B887D9B2DACB137","",""
"cert","sidep.gouv.fr/66.22.33.76","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIfjCCBmagAwIBAgIQGDDrv6ckQIo3AZvZ35CqtjANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjMwMzA1MjMwMDAwWhcNMjQwMzA0MjI1OTU5WjCBjTELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMUEwPwYDVQQKDDhTRUNSRVRBUklBVCBHRU5FUkFMIE1JTklTVEVSRVMgQ0hBUkdFUyBBRkZBSVJFUyBTT0NJQUxFUzEWMBQGA1UEAwwNc2lkZXAuZ291di5mcjETMBEGA1UEBRMKUzI2NTg5MjM5NzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMwtjFz53u9KOniSbTD3cF0WhVc+EOaZ8k9p7bftixHNX4arbDuvyKhSLQ4ruQhVhwXZ5BHHeSJhqm48fIfr3KuNpX4ioG/5foxYf4zDACPv+IRKa/rT9pORqtfbaUFB/ISvwjUbApHZ1K9grTnP/edyS1Mj9Kr+NMFWZ7U22w2tcqPltQGsevHPy5WiE+VvUhaOxZ65NznBJA4WK0uNqUgHcIEOY3hsOkBEuq+djOOGmpx1i23XgSsSmP7hkMQY+bjnu4ZXZ5Cd+oxoebl+yZu6G+2fy5AiudpDaD/mEYJPiZmwOvdwg9xj3YA9VRFJrboJvi5dzDlAObivIaFKz3kCAwEAAaOCA+cwggPjMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDA/BgNVHREEODA2gg1zaWRlcC5nb3V2LmZyghF3d3cuc2lkZXAuZ291di5mcoISYXV0aC5zaWRlcC5nb3V2LmZyMB0GA1UdDgQWBBRLWVB9VyhWyfrcjLwMoyMjkI8ZnjCCAX0GCisGAQQB1nkCBAIEggFtBIIBaQFnAHUA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGGtv87EQAABAMARjBEAiBBAIq6wLuynAjiiQwXZ4pAX3p4SqWZ93u0qsW1VFXlbwIgSQphGaj2ETQNRjm5T1yaZvy4A8aoajW+fCg6Tpn6fP0AdgB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYa2/zuLAAAEAwBHMEUCIQDeK5oMAFA58dbhohSddIlHLcsi2YcvGV/GQf+kgAA0OQIgXndQg/YI38ZjBeyHV5Xlvf5CHv8Ukm2tKUfPbh8mzXYAdgBVgdTCFpA2AUrqC5tXPFPwwOQ4eHAlCBcvo6odBxPTDAAAAYa2/z0DAAAEAwBHMEUCIQCborH0veSs1ue/XhBsDIln6jbNI97D2i4PS62QEqxX3gIgDq14cDz7VYvglpdeqD/+m7W+9WHPsYmyBR3I9hgcUK0wDQYJKoZIhvcNAQELBQADggIBAIcWuErfs11VUeyV8bGM+Mn9PxOQq5MnRDQh53PIv5cnGQZAuvc2PfAbk704s4U9l5lDWSAg86FMBmCQd3TP8jkEDe8AKosk/sMt+u4qfcDklfG22pOxMVrUD546CxiTN5UZt0XxfQTUUlcOc2MMBZl60CAhUTLUcfw42eJn19R54XWuEs9+Pkv6HCQsHv2vQ4NaxmJD6+2GlOZv+pMp0n1UknY/LZZSqUOPpKOusI/I9APFGePrxovCetyx/rejkgHhz16V/T9cV2G/qQR5EnYARXf1vQKJdxgJ7nD0bmqWVBwUsPv0vcJUBsZNsKkagMlkiX3s8eoCJj8ikaVNNVxEQK3//LLHJHEB7Q2xXPZkIEuo/iUfNXE3O5Bc677Gh0YRRNSUGNHHyXXcPU4tw7DUMJ+PnHhgefq3+Lyd/EtvcyqrDy87VIfFhfbNxUbTsELPWfuHXMeuBEn7CjHfivZquEvirHjyiUqpaaI9nrZXmal4AoCGxWxzegIgES6aPixGJvXd7rDWe+iSJw/cHEvhUQxdyrZG1UxQ77xs+NSC+bM3F/3CFLauyehKbkmBFGiL3peEEZEmjjk/ikTC+LB6BQkPXGe342GVpRveV2hp4XwMe4OQwYeU3CmNGm59glsWdTk4x1cD/Yar7wr7cbHoTHb2rZ8lrXevtpl2P4C0\n-----END CERTIFICATE-----","",""
"cert_commonName","sidep.gouv.fr/66.22.33.76","443","OK","sidep.gouv.fr","",""
"cert_commonName_wo_SNI","sidep.gouv.fr/66.22.33.76","443","INFO","sidep.gouv.fr","",""
"cert_subjectAltName","sidep.gouv.fr/66.22.33.76","443","INFO","sidep.gouv.fr www.sidep.gouv.fr auth.sidep.gouv.fr","",""
"cert_trust","sidep.gouv.fr/66.22.33.76","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","sidep.gouv.fr/66.22.33.76","443","OK","passed.","",""
"cert_certificatePolicies_EV","sidep.gouv.fr/66.22.33.76","443","INFO","no","",""
"cert_expirationStatus","sidep.gouv.fr/66.22.33.76","443","MEDIUM","expires < 60 days (52)","",""
"cert_notBefore","sidep.gouv.fr/66.22.33.76","443","INFO","2023-03-05 23:00","",""
"cert_notAfter","sidep.gouv.fr/66.22.33.76","443","MEDIUM","2024-03-04 22:59","",""
"cert_extlifeSpan","sidep.gouv.fr/66.22.33.76","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","sidep.gouv.fr/66.22.33.76","443","INFO","not present","",""
"cert_crlDistributionPoints","sidep.gouv.fr/66.22.33.76","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","sidep.gouv.fr/66.22.33.76","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","sidep.gouv.fr/66.22.33.76","443","LOW","not offered","",""
"cert_mustStapleExtension","sidep.gouv.fr/66.22.33.76","443","INFO","--","",""
"DNS_CAArecord","sidep.gouv.fr/66.22.33.76","443","LOW","--","",""
"certificate_transparency","sidep.gouv.fr/66.22.33.76","443","OK","yes (certificate extension)","",""
"certs_countServer","sidep.gouv.fr/66.22.33.76","443","INFO","2","",""
"certs_list_ordering_problem","sidep.gouv.fr/66.22.33.76","443","INFO","no","",""
"cert_caIssuers","sidep.gouv.fr/66.22.33.76","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","sidep.gouv.fr/66.22.33.76","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgxMDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRDZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsSY66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtBZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rryGidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZszN76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6QzNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QWFd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabjzc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OHnlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEBAAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDApoCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBINbRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW+oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4by6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjmkczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhnDWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","sidep.gouv.fr/66.22.33.76","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
