"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","somme.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","somme.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","somme.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","somme.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","somme.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","somme.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","somme.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","somme.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","somme.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","somme.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","somme.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","somme.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","somme.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","somme.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","somme.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","somme.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","somme.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","somme.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","somme.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","somme.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","somme.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","somme.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","somme.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","somme.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","somme.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","somme.gouv.fr/77.159.252.140","443","INFO","yes","",""
