"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","snds.gouv.fr/93.174.145.177","443","INFO","HTTP","",""
"pre_128cipher","snds.gouv.fr/93.174.145.177","443","INFO","No 128 cipher limit bug","",""
"SSLv2","snds.gouv.fr/93.174.145.177","443","OK","not offered","",""
"SSLv3","snds.gouv.fr/93.174.145.177","443","OK","not offered","",""
"TLS1","snds.gouv.fr/93.174.145.177","443","LOW","offered (deprecated)","",""
"TLS1_1","snds.gouv.fr/93.174.145.177","443","LOW","offered (deprecated)","",""
"TLS1_2","snds.gouv.fr/93.174.145.177","443","OK","offered","",""
"TLS1_3","snds.gouv.fr/93.174.145.177","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"cipherlist_NULL","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_LOW","snds.gouv.fr/93.174.145.177","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","snds.gouv.fr/93.174.145.177","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","snds.gouv.fr/93.174.145.177","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","snds.gouv.fr/93.174.145.177","443","INFO","not offered","",""
"cipherlist_STRONG_FS","snds.gouv.fr/93.174.145.177","443","OK","offered","",""
"cipher_order-tls1","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"cipherorder_TLSv1","snds.gouv.fr/93.174.145.177","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"cipherorder_TLSv1_1","snds.gouv.fr/93.174.145.177","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"cipherorder_TLSv1_2","snds.gouv.fr/93.174.145.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","snds.gouv.fr/93.174.145.177","443","OK","server","",""
"FS","snds.gouv.fr/93.174.145.177","443","OK","offered","",""
"FS_ciphers","snds.gouv.fr/93.174.145.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","snds.gouv.fr/93.174.145.177","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","snds.gouv.fr/93.174.145.177","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","snds.gouv.fr/93.174.145.177","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","snds.gouv.fr/93.174.145.177","443","INFO","yes","",""
"sessionresumption_ticket","snds.gouv.fr/93.174.145.177","443","INFO","not supported","",""
"sessionresumption_ID","snds.gouv.fr/93.174.145.177","443","INFO","supported","",""
"TLS_timestamp","snds.gouv.fr/93.174.145.177","443","INFO","random","",""
"cert_compression","snds.gouv.fr/93.174.145.177","443","INFO","N/A","",""
"clientAuth","snds.gouv.fr/93.174.145.177","443","INFO","none","",""
"cert_numbers","snds.gouv.fr/93.174.145.177","443","INFO","1","",""
"cert_signatureAlgorithm","snds.gouv.fr/93.174.145.177","443","OK","SHA256 with RSA","",""
"cert_keySize","snds.gouv.fr/93.174.145.177","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","snds.gouv.fr/93.174.145.177","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","snds.gouv.fr/93.174.145.177","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","snds.gouv.fr/93.174.145.177","443","INFO","8CFB29A3C2F22E7434930E5339D13597","",""
"cert_serialNumberLen","snds.gouv.fr/93.174.145.177","443","INFO","16","",""
"cert_fingerprintSHA1","snds.gouv.fr/93.174.145.177","443","INFO","944178A1A76273B2EACEFFE22ACE4B26C3601ACA","",""
"cert_fingerprintSHA256","snds.gouv.fr/93.174.145.177","443","INFO","6564765EBC00609C325532D7D61A82A7D894EDC15918537E586126C443D0C3DB","",""
